film,Released_Year,Runtime,IMDB_Rating,No_of_Votes,Gross,Overview,Director,Star1,Star2,Star3,Star4,Meta_score,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,oscar_nominations,oscar_wins,best_picture_nom,best_picture_win
Saving Private Ryan,1998.0,169,8.6,1235804,216540909,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,91.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,11,5,1,0
The Green Mile,1999.0,189,8.6,1147794,136801374,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,61.0,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4,0,1,0
La vita è bella,1997.0,116,8.6,623629,57598247,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,59.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0
Se7en,1995.0,127,8.6,1445096,100125643,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,65.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0
The Silence of the Lambs,1991.0,118,8.6,1270197,130742922,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,85.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7,5,1,1
Star Wars,1977.0,121,8.6,1231473,322740140,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,90.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,11,7,1,0
Shichinin no samurai,1954.0,207,8.6,315744,269061,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,98.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Joker,2019.0,122,8.5,939252,335451311,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,59.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11,2,1,0
Whiplash,2014.0,106,8.5,717585,13092000,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,88.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,5,3,1,0
The Intouchables,2011.0,112,8.5,760360,13182281,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,57.0,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
The Prestige,2006.0,130,8.5,1190259,53089891,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,66.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,2,0,0,0
The Departed,2006.0,151,8.5,1189773,132384315,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,85.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5,4,1,1
The Pianist,2002.0,150,8.5,729603,32572577,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,85.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7,3,1,0
Gladiator,2000.0,155,8.5,1341460,187705427,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,67.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,5,1,1
American History X,1998.0,119,8.5,1034705,6719864,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,62.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0
The Usual Suspects,1995.0,106,8.5,991208,23341568,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,77.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2,2,0,0
Léon,1994.0,110,8.5,1035236,19501238,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,64.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
The Lion King,1994.0,88,8.5,942045,422783777,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,88.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2,0,0
Terminator 2: Judgment Day,1991.0,137,8.5,995506,204843350,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,75.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,6,4,0,0
Nuovo Cinema Paradiso,1988.0,155,8.5,230763,11990401,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,80.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0
Back to the Future,1985.0,116,8.5,1058081,210609762,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,87.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,1,0,0
Once Upon a Time in the West,1968.0,165,8.5,302844,5321508,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,80.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0
Psycho,1960.0,109,8.5,604211,32000000,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,97.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,4,0,0,0
Casablanca,1942.0,102,8.5,522093,1024560,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,100.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,8,3,1,1
Modern Times,1936.0,87,8.5,217881,163245,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,96.0,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
City Lights,1931.0,87,8.5,167839,19181,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,99.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0
Capharnaüm,2018.0,126,8.4,62635,1661096,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,75.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Kimi no na wa.,2016.0,106,8.4,194838,5017246,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki,79.0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Spider-Man: Into the Spider-Verse,2018.0,117,8.4,375110,190241310,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,87.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0
Avengers: Endgame,2019.0,181,8.4,809955,858373000,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,78.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0
Avengers: Infinity War,2018.0,149,8.4,834477,678815482,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,68.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0
Coco,2017.0,105,8.4,384171,209726015,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Lee Unkrich,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,81.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,0,0
Django Unchained,2012.0,165,8.4,1357682,162805434,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,81.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5,2,1,0
The Dark Knight Rises,2012.0,164,8.4,1516346,448139099,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,78.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
3 Idiots,2009.0,170,8.4,344445,6532908,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,67.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
WALL·E,2008.0,98,8.4,999790,223808164,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,95.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6,1,0,0
The Lives of Others,2006.0,137,8.4,358685,11286112,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur,89.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1,1,0,0
Oldeuboi,2003.0,101,8.4,515451,707481,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Chan-wook Park,Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,Kim Byeong-Ok,77.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0
Memento,2000.0,113,8.4,1125712,25544867,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,80.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2,0,0,0
Mononoke-hime,1997.0,134,8.4,343171,2375308,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,76.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Raiders of the Lost Ark,1981.0,115,8.4,884112,248159971,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,85.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,5,1,0
The Shining,1980.0,146,8.4,898237,44017374,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,66.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0
Apocalypse Now,1979.0,147,8.4,606398,83471511,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,94.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,8,2,1,0
Alien,1979.0,117,8.4,787806,78900000,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,89.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,2,1,0,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,95,8.4,450474,275902,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,97.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,0,1,0
Rear Window,1954.0,112,8.4,444074,36764313,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,4,0,0,0
1917,2019.0,119,8.3,425844,159227644,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,78.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,10,3,1,0
Jagten,2012.0,115,8.3,281623,687185,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,77.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Jodaeiye Nader az Simin,2011.0,123,8.3,220002,7098492,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,95.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Incendies,2010.0,131,8.3,150023,6857096,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel,80.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0
Inglourious Basterds,2009.0,153,8.3,1267869,120540719,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent,69.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,8,1,1,0
Eternal Sunshine of the Spotless Mind,2004.0,108,8.3,911664,34400301,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne,89.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2,1,0,0
Amélie,2001.0,122,8.3,703810,33225499,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta,69.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5,0,0,0
Snatch,2000.0,104,8.3,782001,30328156,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,Jason Statham,Brad Pitt,Benicio Del Toro,Dennis Farina,55.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
